articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2617440119,공덕삼성,매매,14/25,22억,112,84,남향,22억,651,19991016
2616748217,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616923938,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2617417103,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617425978,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617439656,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2617419174,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617419708,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617512541,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617465933,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2617547746,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2617322645,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617419247,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617336675,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617420620,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617420302,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617425214,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617248826,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2617289172,공덕삼성,전세,2/25,"8억 5,000",112,84,남향,"8억 5,000",651,19991016
2617254570,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617144107,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617161145,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617182527,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2617131561,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617132059,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617228857,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2617132397,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2616972572,공덕삼성,전세,24/25,12억,142,114,남서향,12억,651,19991016
2616994358,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616942913,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616978985,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616938974,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2617006685,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616928980,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616996241,공덕삼성,매매,23/25,"21억 2,000",112,84,남향,"21억 2,000",651,19991016
2617007018,공덕삼성,매매,11/22,"17억 5,000",85,59,동향,"17억 5,000",651,19991016
2616924399,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616942507,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616994212,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2616991512,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616915050,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2616718308,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2616718928,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2616729630,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2616693782,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2616722318,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2616784331,공덕삼성,매매,2/25,21억,112,84,남향,21억,651,19991016
2616665951,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616715157,공덕삼성,매매,15/22,17억,85,59,남향,17억,651,19991016
2616730336,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616728065,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2616686266,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616718646,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616718483,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2616730777,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2616718083,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616376538,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616491748,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2616237116,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616267763,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2616236725,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617299270,공덕삼성,매매,저/25,21억,112,84,남향,21억,651,19991016
2615882102,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2615849029,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2615727052,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2617006932,공덕삼성,매매,저/22,17억,85,59,남향,17억,651,19991016
2616860806,공덕삼성,전세,고/25,12억,142,114,남향,12억,651,19991016
2615402876,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2615437747,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2615474648,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2616714877,공덕삼성,매매,중/22,18억,85,59,남향,18억,651,19991016
2616789151,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2615277349,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2615336503,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2616491155,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2615002850,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2614999958,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2615082592,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2614859558,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2614803463,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2614800083,공덕삼성,매매,22/25,"22억 5,000",112,84,동향,"22억 5,000",651,19991016
2616109805,공덕삼성,매매,고/25,25억,142,114,남향,25억,651,19991016
2614573318,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2614680401,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2614649038,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2614171586,공덕삼성,매매,고/25,25억,142,114,남향,25억,651,19991016
2614223737,공덕삼성,매매,8/22,18억,85,59,남동향,18억,651,19991016
2614017136,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2613752792,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2613632753,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2613412118,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2613558660,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2613375606,공덕삼성,매매,9/22,"17억 5,000",85,59,동향,"17억 5,000",651,19991016
2613347484,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2613226449,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2613216972,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2612924093,공덕삼성,매매,22/25,"22억 5,000",112,84,남동향,"22억 5,000",651,19991016
2612595007,공덕삼성,매매,5/25,20억,112,84,동향,20억,651,19991016
2612227870,공덕삼성,매매,22/25,"22억 5,000",112,84,동향,"22억 5,000",651,19991016
2612227599,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2611850917,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2616941418,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2617385412,래미안공덕3차,전세,중/20,12억,136,114,남동향,12억,616,20040830
2617156717,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617141336,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617043833,래미안공덕3차,전세,중/20,12억,136,114,남동향,12억,616,20040830
2617415280,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617419055,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617417653,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617548331,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617402903,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617511019,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617508113,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617412408,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617416285,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2617415202,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617403810,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2617506755,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617415733,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
