매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,세대수,준공년도
2619074722,e편한세상마포리버파크,매매,10/21,"24억 3,000",243000,84,59,25.4,17.8,남동향,547,20161013
2618818836,e편한세상마포리버파크,매매,16/21,29억,290000,110,84,33.3,25.4,남서향,547,20161013
2613212355,e편한세상마포리버파크,매매,16/21,30억,300000,112,84,33.9,25.4,남향,547,20161013
2618587848,e편한세상마포리버파크,전세,고/21,10억,100000,84,59,25.4,17.8,남동향,547,20161013
2619089312,e편한세상마포리버파크,전세,14/20,13억,130000,110,84,33.3,25.4,남동향,547,20161013
2618501923,e편한세상마포리버파크,전세,중/21,13억,130000,112,84,33.9,25.4,남향,547,20161013
2615856107,강변힐스테이트,매매,중/19,16억,160000,79,59,23.9,17.8,남향,510,20040216
2616075263,강변힐스테이트,매매,저/20,"19억 5,000",195000,106,84,32.1,25.4,남동향,510,20040216
2616214904,강변힐스테이트,매매,3/13,"20억 2,000",202000,133,114,40.2,34.5,남향,510,20040216
2618723742,강변힐스테이트,전세,중/13,"9억 5,000",95000,133,114,40.2,34.5,남향,510,20040216
2618347426,공덕삼성,매매,15/22,17억,170000,85,59,25.7,17.8,남향,651,19991016
2618972474,공덕삼성,매매,5/25,"19억 8,000",198000,112,84,33.9,25.4,동향,651,19991016
2618904214,공덕삼성,매매,24/25,"24억 5,000",245000,142,114,43.0,34.5,남향,651,19991016
2618928159,공덕삼성,전세,2/22,"7억 3,000",73000,85,59,25.7,17.8,동향,651,19991016
2618844926,대흥태영(마포태영),매매,8/20,"17억 3,000",173000,83,59,25.1,17.8,동향,1992,19991120
2618889303,대흥태영(마포태영),매매,2/25,"20억 5,000",205000,109,84,33.0,25.4,남서향,1992,19991120
2618844512,대흥태영(마포태영),매매,21/25,23억,230000,142,114,43.0,34.5,남동향,1992,19991120
2618855951,대흥태영(마포태영),전세,13/22,"6억 7,000",67000,83,59,25.1,17.8,남동향,1992,19991120
2618911374,대흥태영(마포태영),전세,중/18,"11억 7,000",117000,142,114,43.0,34.5,남서향,1992,19991120
2618647708,도화3지구우성,매매,저/15,"16억 5,000",165000,92,68,27.8,20.6,남향,1222,19910320
2619029718,도화3지구우성,매매,4/15,"17억 7,000",177000,107,79,32.4,23.9,동향,1222,19910320
2618467758,도화3지구우성,매매,저/15,"19억 3,000",193000,132,111,39.9,33.6,동향,1222,19910320
2618260526,도화3지구우성,매매,저/10,23억,230000,168,141,50.8,42.7,남향,1222,19910320
2617813654,도화3지구우성,전세,13/15,"5억 7,000",57000,92,68,27.8,20.6,남향,1222,19910320
2619022168,도화현대1차,매매,10/15,15억,150000,75,54,22.7,16.3,동향,1021,19960925
2616811299,도화현대1차,매매,저/16,"15억 7,000",157000,94,68,28.4,20.6,남향,1021,19960925
2619023128,도화현대1차,매매,3/15,"17억 5,000",175000,106,79,32.1,23.9,남향,1021,19960925
2617149983,도화현대1차,매매,저/15,"18억 6,000",186000,130,112,39.3,33.9,남향,1021,19960925
2615234735,도화현대1차,매매,14/15,"18억 5,000",185000,148,128,44.8,38.7,남향,1021,19960925
2618830492,도화현대1차,매매,6/15,21억,210000,168,147,50.8,44.5,남향,1021,19960925
2619022858,도화현대1차,전세,9/16,"5억 6,000",56000,94,68,28.4,20.6,남향,1021,19960925
2619021395,도화현대1차,전세,7/15,"6억 5,000",65000,106,79,32.1,23.9,동향,1021,19960925
2618113831,도화현대1차,전세,5/15,"8억 2,000",82000,130,112,39.3,33.9,남향,1021,19960925
2615319932,도화현대1차,전세,7/15,"9억 2,000",92000,168,147,50.8,44.5,남동향,1021,19960925
2618933762,래미안공덕3차,매매,1/20,"19억 2,000",192000,80,59,24.2,17.8,남서향,616,20040830
2619083101,래미안공덕3차,매매,18/20,"26억 5,000",265000,136,114,41.1,34.5,남동향,616,20040830
2617904303,래미안공덕3차,전세,고/20,7억,70000,80,59,24.2,17.8,남서향,616,20040830
2618416938,래미안공덕3차,전세,중/20,12억,120000,136,114,41.1,34.5,남동향,616,20040830
2618938065,래미안공덕4차,매매,고/19,"18억 7,000",187000,84,59,25.4,17.8,남동향,597,20051117
2617685726,래미안공덕4차,매매,12/17,"22억 5,000",225000,141,112,42.7,33.9,남동향,597,20051117
2618926412,래미안공덕4차,전세,20/20,11억,110000,141,112,42.7,33.9,남동향,597,20051117
2618645961,래미안공덕5차,매매,중/14,"20억 5,000",205000,81,59,24.5,17.8,남동향,794,20110825
2617175643,래미안공덕5차,매매,5/17,25억,250000,112,84,33.9,25.4,남동향,794,20110825
2615325241,래미안공덕5차,매매,저/17,32억,320000,151,113,45.7,34.2,남향,794,20110825
2618986431,래미안공덕5차,전세,14/17,8억,80000,80,59,24.2,17.8,남동향,794,20110825
2619082509,래미안공덕5차,전세,13/17,11억,110000,151,113,45.7,34.2,남향,794,20110825
2619090136,래미안마포리버웰,매매,3/17,"24억 8,000",248000,84,59,25.4,17.8,남서향,563,20150227
2619089979,래미안마포리버웰,매매,3/22,"29억 2,000",292000,113,84,34.2,25.4,남서향,563,20150227
2618644808,래미안마포리버웰,매매,중/18,33억,330000,144,114,43.6,34.5,남향,563,20150227
2618906290,래미안웰스트림,매매,고/29,"23억 5,000",235000,83,59,25.1,17.8,남동향,773,20160128
2618955360,래미안웰스트림,매매,2/29,21억,210000,84,59,25.4,17.8,남동향,773,20160128
2613874282,래미안웰스트림,매매,8/33,24억,240000,118,84,35.7,25.4,남동향,773,20160128
2618558402,래미안웰스트림,매매,6/34,24억,240000,119,84,36.0,25.4,남동향,773,20160128
2618557583,래미안웰스트림,매매,중/29,29억,290000,151,114,45.7,34.5,남향,773,20160128
2618999807,래미안웰스트림,전세,28/33,"3억 3,000",33000,119,84,36.0,25.4,남서향,773,20160128
2618453645,마포그랑자이,매매,중/12,"20억 9,000",209000,80,59,24.2,17.8,동향,1248,20200221
2618508957,마포그랑자이,매매,중/22,"21억 5,000",215000,82,59,24.8,17.8,남동향,1248,20200221
2618916256,마포그랑자이,매매,고/12,"26억 8,000",268000,112,84,33.9,25.4,남향,1248,20200221
2619076840,마포그랑자이,매매,중/23,"27억 5,000",275000,113,84,34.2,25.4,남동향,1248,20200221
2618833501,마포그랑자이,매매,저/19,26억,260000,114,84,34.5,25.4,남향,1248,20200221
2619084385,마포그랑자이,매매,12/22,32억,320000,128,96,38.7,29.0,남서향,1248,20200221
2618863959,마포그랑자이,매매,고/22,40억,400000,153,112,46.3,33.9,남동향,1248,20200221
2614959075,마포그랑자이,전세,저/22,"8억 5,000",85000,80,59,24.2,17.8,남동향,1248,20200221
2617389378,마포그랑자이,전세,1/22,"10억 5,000",105000,112,84,33.9,25.4,남동향,1248,20200221
2613522983,마포그랑자이,전세,중/20,"2억 7,500",27500,114,84,34.5,25.4,남향,1248,20200221
2618871390,마포그랑자이,전세,15/18,"18억 5,000",185000,153,112,46.3,33.9,남동향,1248,20200221
2618915108,마포자이,매매,저/19,26억,260000,108,84,32.7,25.4,남동향,534,20031205
