매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향
2548502951,e편한세상마포리버파크,매매,4/20,22억,220000,84,59,25.410000952875034,17.847500669281274,남동향
2548808405,e편한세상마포리버파크,매매,1/21,24억,240000,111,84,33.57750125915629,25.410000952875034,남동향
2548928402,e편한세상마포리버파크,매매,중/21,28억,280000,112,84,33.880001270500046,25.410000952875034,남향
2548936346,e편한세상마포리버파크,전세,6/19,"15억 5,000",155000,152,123,45.98000172425006,37.2075013952813,남서향
2547783850,대흥태영(마포태영),매매,21/22,"15억 4,000",154000,83,59,25.107500941531285,17.847500669281274,남동향
2548019992,대흥태영(마포태영),매매,1/22,"18억 5,000",185000,109,84,32.972501236468794,25.410000952875034,남동향
2548793131,대흥태영(마포태영),매매,6/18,"22억 5,000",225000,142,114,42.95500161081256,34.485001293187544,남서향
2548984784,대흥태영(마포태영),전세,3/22,"6억 2,000",62000,83,59,25.107500941531285,17.847500669281274,남서향
2548979332,대흥태영(마포태영),전세,1/22,"7억 8,000",78000,109,84,32.972501236468794,25.410000952875034,남동향
2548793364,대흥태영(마포태영),전세,6/18,11억,110000,142,114,42.95500161081256,34.485001293187544,남서향
2547424051,도화현대1차,매매,저/15,11억,110000,75,54,22.68750085078128,16.33500061256252,동향
2549019601,도화현대1차,매매,4/15,"16억 5,000",165000,148,128,44.77000167887506,38.720001452000055,남향
2549022044,도화현대1차,매매,중/15,"19억 9,000",199000,168,147,50.82000190575007,44.46750166753131,남동향
2548968307,마포자이,매매,4/19,25억,250000,108,84,32.67000122512504,25.410000952875034,남동향
2548445280,마포자이,매매,중/25,"26억 5,000",265000,135,113,40.8375015314063,34.1825012818438,남서향
2548800861,마포자이,매매,고/25,29억,290000,189,157,57.17250214396883,47.492501780968816,남서향
2547424631,삼성,매매,3/17,"16억 1,000",161000,90,72,27.225001020937537,21.78000081675003,남동향
2547496023,삼성,매매,고/17,"18억 5,000",185000,104,84,31.46000117975004,25.410000952875034,남서향
2548345519,삼성,매매,15/17,22억,220000,158,136,47.79500179231256,41.140001542750056,남동향
2545270482,삼성,매매,14/17,23억,230000,159,136,48.097501803656314,41.140001542750056,남동향
2547929575,삼성,전세,6/17,"6억 7,000",67000,90,72,27.225001020937537,21.78000081675003,남서향
2549033954,삼성,전세,1/17,10억,100000,158,136,47.79500179231256,41.140001542750056,남동향
2545013292,삼성,전세,저/17,"11억 5,000",115000,159,136,48.097501803656314,41.140001542750056,남동향
2548948347,월드메르디앙,매매,10/27,"6억 3,500",63500,105,76,31.762501191093794,22.99000086212503,남향
2548530693,월드메르디앙,매매,중/30,"6억 5,000",65000,113,84,34.1825012818438,25.410000952875034,남향
2548969890,월드메르디앙,매매,1/30,"6억 8,000",68000,118,84,35.69500133856255,25.410000952875034,남향
2547455416,월드메르디앙,매매,2/27,"6억 6,000",66000,131,101,39.627501486031306,30.55250114571879,남향
2548193091,월드메르디앙,매매,17/30,8억,80000,156,122,47.19000176962506,36.90500138393755,남향
2548559848,월드메르디앙,매매,중/25,8억,80000,191,155,57.777502166656326,46.88750175828131,남향
2544427484,월드메르디앙,매매,저/30,"9억 5,000",95000,230,189,69.5750026090626,57.17250214396883,남향
2547449061,월드메르디앙,전세,1/30,"4억 5,000",45000,118,84,35.69500133856255,25.410000952875034,남향
2548949537,월드메르디앙,전세,고/27,"5억 5,000",55000,131,101,39.627501486031306,30.55250114571879,남향
2548585369,월드메르디앙,전세,30/30,"5억 5,000",55000,156,122,47.19000176962506,36.90500138393755,남향
2543079736,월드메르디앙,전세,고/30,6억,60000,230,189,69.5750026090626,57.17250214396883,남향
2548876136,현대홈타운,매매,2/20,"12억 2,000",122000,79,59,23.89750089615628,17.847500669281274,동향
2548607969,현대홈타운,매매,1/20,"12억 5,000",125000,107,84,32.367501213781296,25.410000952875034,남서향
2546927249,현대홈타운,매매,11/20,"13억 9,000",139000,139,113,42.04750157678131,34.1825012818438,남동향
2547290692,현대홈타운,전세,6/20,"5억 9,000",59000,107,84,32.367501213781296,25.410000952875034,남향
