articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2548984784,대흥태영(마포태영),전세,3/22,"6억 2,000",83,59,남서향,"6억 2,000"
2549063042,대흥태영(마포태영),매매,20/22,"15억 5,000",83,59,남동향,"15억 5,000"
2548981354,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2548979332,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2548970233,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2548992699,대흥태영(마포태영),전세,8/20,"6억 2,000",83,59,남동향,"6억 5,000"
2548967792,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2548937121,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2548730188,대흥태영(마포태영),매매,20/22,"15억 5,000",83,59,남동향,"15억 5,000"
2548738734,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2548749395,대흥태영(마포태영),전세,3/22,"6억 2,000",83,59,남서향,"6억 2,000"
2548793131,대흥태영(마포태영),매매,6/18,"22억 5,000",142,114,남서향,"22억 5,000"
2548793364,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
2548706147,대흥태영(마포태영),전세,8/20,"6억 2,000",83,59,남동향,"6억 5,000"
2548481080,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2548706173,대흥태영(마포태영),전세,8/20,"6억 4,000",83,59,남동향,"6억 5,000"
2548599873,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2548019992,대흥태영(마포태영),매매,1/22,"18억 5,000",109,84,남동향,"18억 5,000"
2548039529,대흥태영(마포태영),전세,3/22,"6억 2,000",83,59,남서향,"6억 2,000"
2548950295,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2547783850,대흥태영(마포태영),매매,21/22,"15억 4,000",83,59,남동향,"15억 4,000"
2547932417,대흥태영(마포태영),전세,8/23,"6억 5,000",83,59,남서향,"6억 5,000"
2548700893,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2547581872,대흥태영(마포태영),전세,25/25,9억,109,84,남서향,9억
2547373631,대흥태영(마포태영),전세,25/25,9억,109,84,남서향,9억
2548232681,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2549021598,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2548997736,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2548924868,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2548924578,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
2548732178,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2548755216,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2548700964,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
2548731119,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2548755696,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
