dongName,complexNo,complexName
공덕동,118741,공덕SK리더스뷰(주상복합)
공덕동,110712,공덕더샵(주상복합)
공덕동,13325,공덕래미안4차
공덕동,403,공덕삼성
공덕동,105829,공덕스카이(주상복합)
공덕동,110249,공덕시티하우스(주상복합)
공덕동,107068,공덕파크자이(주상복합)
공덕동,3289,공덕현대
공덕동,27653,두영이지안
공덕동,10133,래미안공덕3차
공덕동,100627,래미안공덕5차
공덕동,124561,로즈빌
공덕동,23117,롯데캐슬프레지던트(주상복합)
공덕동,17318,마포공덕파크팰리스Ⅱ(주상복합)
공덕동,10809,마포공덕한화꿈에그린
공덕동,171284,마포자이힐스테이트라첼스
공덕동,3290,마포현대
공덕동,124666,벨로하우스공덕(주상복합)
공덕동,3306,삼성래미안공덕2차
공덕동,119737,솔리스타(도시형)
공덕동,127828,헤이븐(주상복합)
공덕동,118079,효창그린빌라트
구수동,8358,영풍(주상복합)
대흥동,1146,대흥세양
대흥동,1147,대흥태영(마포태영)
대흥동,24940,동양엔파트
대흥동,114542,마포그랑자이
대흥동,184280,마포나루타운(도시형)
대흥동,103674,마포자이2차
대흥동,141837,만민하늘애(도시형)
대흥동,23611,성신
대흥동,106999,이대역스타힐스(도시형)
도화동,3291,고려(주상복합)
도화동,405,도화3지구우성
도화동,3294,도화현대
도화동,407,도화현대1차
도화동,11500,마포동원베네스트
도화동,22358,마포아크로타워(주상복합)
도화동,13322,마포트라팰리스(주상복합)
도화동,12240,마포한화오벨리스크(주상복합)
도화동,404,삼성
도화동,3292,성지(주상복합)
도화동,123936,여정(도시형)
도화동,406,정우맨션(주상복합)
도화동,15971,현대예술
도화동,841,현대홈타운
신공덕동,103489,공덕아이파크
신공덕동,107300,공덕프로포즈Ⅱ(도시형)
신공덕동,105820,뉴마인
신공덕동,27817,대우월드마크마포(주상복합)
신공덕동,100682,마포KCC웰츠타워(주상복합)
신공덕동,10479,메트로디오빌(주상복합)
신공덕동,24122,브라운스톤공덕
신공덕동,124280,블레스하임(주상복합)
신공덕동,19503,신공덕e-편한세상
신공덕동,2992,신공덕삼성래미안1차
신공덕동,2993,신공덕삼성래미안2차
신공덕동,2994,신공덕삼성래미안3차
신공덕동,141433,신공덕아이파크(도시형)
신공덕동,27733,펜트라우스(주상복합)
신수동,22715,경남아너스빌
신수동,5621,대원칸타빌
신수동,11223,마포경남아너스빌
신수동,26444,마포벽산e-솔렌스힐
신수동,11709,밤섬경남아너스빌
신수동,842,성원
신수동,5618,세양청마루
신수동,158359,신수르끌레브
신수동,104365,신수자이언트
신수동,418,신수현대
신수동,415,신촌삼익
신수동,114335,신촌숲아이파크
신수동,147123,제이에스해슬리(도시형)
신수동,22046,하나테크노빌(주상복합)
염리동,3310,마포자이
염리동,111249,마포자이더센트리지
염리동,121608,마포프레스티지자이
염리동,844,상록
염리동,144522,세림프라미스(주상복합)
염리동,3299,염리삼성래미안
염리동,14231,염리세양청마루
염리동,139605,염리스타팰리스(주상복합)
염리동,118017,우공
염리동,149738,우리파크(도시형)
염리동,108974,유풍
염리동,3300,중앙하이츠
용강동,152669,LaHS하우스(도시형)
용강동,105738,e편한세상마포리버파크
용강동,13920,강변그린
용강동,102467,대호강변
용강동,14805,두영
용강동,2995,래미안
용강동,104596,래미안마포리버웰
용강동,3390,마포대림1차
용강동,10373,마포대림e-편한세상2차
용강동,170390,마포하늘채더리버
용강동,151179,지산재(도시형)
창전동,112237,대원파크빌
창전동,108233,동원스위트뷰(도시형)
창전동,115411,마포웨스트리버태영데시앙
창전동,149362,마포웰하임(도시형)
창전동,111783,서강문화
창전동,17081,서강쌍용예가
창전동,24734,서강한화오벨리스크스위트(주상복합)
창전동,11420,서강해모로
창전동,3475,신촌금호
창전동,3474,중앙하이츠
창전동,846,창전삼성(창전래미안)
창전동,10423,창전쌍용스윗닷홈
창전동,9456,창전현대홈타운
창전동,3441,태영
현석동,8492,강변힐스테이트
현석동,107438,래미안웰스트림
현석동,147767,"리버뷰(민간임대,도시형)"
현석동,27063,반도유보라아일랜드
현석동,3478,밤섬예가클래식
현석동,1155,밤섬현대
