매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,생성일시,세대수,준공년도
2552007906,e편한세상마포리버파크,매매,4/20,23억,230000,84,59,25.41000095287504,17.847500669281274,남동향,2025-10-13 17:25:17,,
2554806988,e편한세상마포리버파크,매매,18/21,"29억 5,000",295000,110,84,33.27500124781255,25.41000095287504,남서향,2025-10-13 17:25:17,,
2554812390,e편한세상마포리버파크,전세,저/21,"12억 5,000",125000,111,84,33.57750125915629,25.41000095287504,남동향,2025-10-13 17:25:17,,
2554152290,공덕삼성,매매,저/22,"15억 5,000",155000,85,59,25.712500964218783,17.847500669281274,동향,2025-10-13 17:25:17,,
2554548745,공덕삼성,매매,고/25,"22억 5,000",225000,142,114,42.95500161081256,34.485001293187544,남향,2025-10-13 17:25:17,,
2554531572,공덕삼성,전세,17/22,"6억 5,000",65000,85,59,25.712500964218783,17.847500669281274,남동향,2025-10-13 17:25:17,,
2554863816,공덕삼성,전세,16/25,"8억 4,000",84000,112,84,33.880001270500046,25.41000095287504,동향,2025-10-13 17:25:17,,
2554830596,공덕삼성,전세,1/25,11억,110000,142,114,42.95500161081256,34.485001293187544,남향,2025-10-13 17:25:17,,
2551246821,대흥태영(마포태영),매매,1/22,"19억 5,000",195000,109,84,32.972501236468794,25.41000095287504,남동향,2025-10-13 17:25:17,,
2551280668,대흥태영(마포태영),매매,6/18,"22억 5,000",225000,142,114,42.95500161081256,34.485001293187544,남서향,2025-10-13 17:25:17,,
2554591432,대흥태영(마포태영),전세,7/23,"6억 5,000",65000,83,59,25.107500941531285,17.847500669281274,남서향,2025-10-13 17:25:17,,
2554753965,대흥태영(마포태영),전세,7/18,"9억 5,000",95000,109,84,32.972501236468794,25.41000095287504,남서향,2025-10-13 17:25:17,,
2554096321,도원삼성래미안,매매,1/22,"14억 8,000",148000,81,59,24.502500918843783,17.847500669281274,남향,2025-10-13 17:25:17,,
2554817403,도원삼성래미안,매매,고/22,"17억 2,000",172000,108,84,32.67000122512504,25.41000095287504,남서향,2025-10-13 17:25:17,,
2554528257,도원삼성래미안,매매,저/22,19억,190000,142,114,42.95500161081256,34.485001293187544,남동향,2025-10-13 17:25:17,,
2554956413,도원삼성래미안,전세,중/22,6억,60000,81,59,24.502500918843783,17.847500669281274,남동향,2025-10-13 17:25:17,,
2554589453,도원삼성래미안,전세,저/22,7억,70000,108,84,32.67000122512504,25.41000095287504,남서향,2025-10-13 17:25:17,,
2553339541,도원삼성래미안,전세,중/21,"7억 5,000",75000,142,114,42.95500161081256,34.485001293187544,남동향,2025-10-13 17:25:17,,
2554899281,도화현대1차,매매,12/16,"14억 7,000",147000,94,68,28.435001066312537,20.570000771375028,동향,2025-10-13 17:25:17,,
2554942595,도화현대1차,매매,3/15,"16억 5,000",165000,106,79,32.06500120243754,23.89750089615628,동향,2025-10-13 17:25:17,,
2554870511,도화현대1차,매매,5/15,19억,190000,130,112,39.325001474687554,33.880001270500046,남향,2025-10-13 17:25:17,,
2553680790,도화현대1차,매매,저/15,22억,220000,148,128,44.77000167887506,38.720001452000055,남향,2025-10-13 17:25:17,,
2554968946,도화현대1차,전세,11/15,10억,100000,168,147,50.82000190575007,44.46750166753131,남향,2025-10-13 17:25:17,,
2554646211,마포자이,매매,7/19,"25억 5,000",255000,108,84,32.67000122512504,25.41000095287504,남동향,2025-10-13 17:25:17,,
2553226368,마포자이,매매,고/19,30억,300000,135,113,40.8375015314063,34.1825012818438,남동향,2025-10-13 17:25:17,,
2554081744,마포자이,매매,고/25,"30억 5,000",305000,189,157,57.17250214396883,47.492501780968816,남서향,2025-10-13 17:25:17,,
2553414319,삼성,매매,13/16,"24억 5,000",245000,136,114,41.140001542750056,34.485001293187544,남동향,2025-10-13 17:25:17,,
2552851466,삼성,전세,저/17,"6억 5,000",65000,90,72,27.225001020937537,21.78000081675003,남향,2025-10-13 17:25:17,,
2554298457,삼성,전세,3/17,"7억 5,000",75000,104,84,31.46000117975004,25.41000095287504,남서향,2025-10-13 17:25:17,,
2553842295,삼성,전세,1/17,10억,100000,158,136,47.79500179231256,41.140001542750056,남동향,2025-10-13 17:25:17,,
