날짜,가격,정렬용가격,층,거래타입,아파트명,단지번호,면적번호,평형,거래구분
2026-01-14,7억 4000만,74000,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2026-01-11,14억 5000만,145000,10,전세,e편한세상마포리버파크,105738,7,46A평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-12-12,8억 6000만,86000,4,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-11-26,8억 9250만,89250,8,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-11-16,15억 5000만,155000,5,전세,e편한세상마포리버파크,105738,7,46A평,전세
2025-11-01,9억 2000만,92000,17,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,2,33A평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,3,33B평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,4,33C평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,5,34D평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,6,34E평,전세
2025-10-19,24억 9000만,249000,1,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-10-19,24억 9000만,249000,1,매매,e편한세상마포리버파크,105738,2,33A평,매매
