dongName,complexNo,complexName,totalHouseholdCount,useApproveYmd
공덕동,13325,공덕래미안4차,597,20051117
공덕동,403,공덕삼성,651,19991016
공덕동,10133,래미안공덕3차,616,20040830
공덕동,100627,래미안공덕5차,794,20110825
공덕동,171284,마포자이힐스테이트라첼스,1101,202703
공덕동,3306,삼성래미안공덕2차,683,20040629
대흥동,1147,대흥태영(마포태영),1992,19991120
대흥동,114542,마포그랑자이,1248,20200221
대흥동,103674,마포자이2차,558,20140306
도화동,405,도화3지구우성,1222,19910320
도화동,407,도화현대1차,1021,19960925
도화동,12240,마포한화오벨리스크(주상복합),662,20041008
도화동,404,삼성,982,19970516
도화동,841,현대홈타운,914,20000311
신공덕동,2992,신공덕삼성래미안1차,834,20000814
신수동,114335,신촌숲아이파크,1015,20190829
염리동,3310,마포자이,534,20031205
염리동,111249,마포자이더센트리지,927,20220630
염리동,121608,마포프레스티지자이,1694,20211230
염리동,844,상록,678,19970830
염리동,3299,염리삼성래미안,574,20010328
용강동,105738,e편한세상마포리버파크,547,20161013
용강동,104596,래미안마포리버웰,563,20150227
창전동,17081,서강쌍용예가,635,20071101
창전동,846,창전삼성(창전래미안),951,19980624
창전동,3441,태영,553,20031128
현석동,8492,강변힐스테이트,510,20040216
현석동,107438,래미안웰스트림,773,20160128
