날짜,가격,정렬용가격,층,거래타입,아파트명,단지번호,면적번호,평형,거래구분
2026-02-24,11억 7000만,117000,11,전세,e편한세상마포리버파크,105738,9,32F평,전세
2026-01-14,7억 4000만,74000,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2026-01-11,14억 5000만,145000,10,전세,e편한세상마포리버파크,105738,7,46A평,전세
2025-12-19,11억,110000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-12-18,11억 6000만,116000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-12-12,8억 6000만,86000,4,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-11-29,12억 5000만,125000,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-11-26,8억 9250만,89250,8,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-11-25,12억,120000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-11-16,15억 5000만,155000,5,전세,e편한세상마포리버파크,105738,7,46A평,전세
2025-11-01,9억 2000만,92000,17,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-10-31,12억 3000만,123000,11,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-10-27,11억 5000만,115000,8,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-10-19,24억 9000만,249000,1,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-10-18,11억 8600만,118600,21,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-10-17,28억 5000만,285000,15,매매,e편한세상마포리버파크,105738,7,46A평,매매
2025-10-03,23억,230000,6,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-09-30,11억 5000만,115000,1,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-09-30,11억,110000,21,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-09-29,11억 3000만,113000,12,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-09-27,27억,270000,4,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-09-23,15억,150000,6,전세,e편한세상마포리버파크,105738,7,46A평,전세
2025-09-21,23억 7000만,237000,1,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-09-20,26억 5000만,265000,8,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-09-19,22억 8000만,228000,12,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-09-19,23억,230000,15,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-08-19,7억 6600만,76600,1,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-08-16,9억 5000만,95000,5,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-08-11,13억 6000만,136000,12,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-08-09,10억 5000만,105000,11,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-07-22,6억 8290만,68290,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-07-09,11억,110000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-07-04,9억,90000,3,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-07-01,21억 9000만,219000,10,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-25,19억 7000만,197000,2,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-21,22억,220000,12,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-21,9억,90000,7,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-06-19,19억 5000만,195000,6,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-19,11억,110000,7,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-06-18,20억 5000만,205000,16,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-11,16억,160000,13,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-11,10억 5000만,105000,16,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-06-03,20억 1000만,201000,12,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-06-03,9억 3000만,93000,4,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-05-23,26억 5000만,265000,7,매매,e편한세상마포리버파크,105738,7,46A평,매매
2025-05-17,9억 1452만,91452,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-04-27,23억 5000만,235000,21,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-04-24,7억 5000만,75000,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-04-12,11억,110000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-04-05,8억 5000만,85000,11,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-04-04,8억 7000만,87000,10,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-04-04,11억,110000,14,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-03-29,9억 1350만,91350,10,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-03-24,11억 7000만,117000,14,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-03-24,9억 6600만,96600,12,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-03-22,7억 5000만,75000,14,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-03-14,11억,110000,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-03-01,12억,120000,17,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-23,17억 5000만,175000,14,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-02-22,11억,110000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-15,16억 4000만,164000,3,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-02-15,17억 6500만,176500,18,매매,e편한세상마포리버파크,105738,1,25A평,매매
2025-02-15,7억 5200만,75200,3,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-02-15,11억 5000만,115000,13,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-13,6억 8200만,68200,17,전세,e편한세상마포리버파크,105738,1,25A평,전세
2025-02-13,12억,120000,13,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-11,19억 9500만,199500,2,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-02-09,9억,90000,5,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-08,11억 5000만,115000,18,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-07,10억 8000만,108000,13,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-02-06,21억,210000,6,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-01-16,21억 5000만,215000,13,매매,e편한세상마포리버파크,105738,9,32F평,매매
2025-01-14,11억,110000,3,전세,e편한세상마포리버파크,105738,9,32F평,전세
2025-01-02,11억 5000만,115000,13,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-12-21,21억 5000만,215000,21,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-12-15,11억,110000,12,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-12-12,6억 9300만,69300,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-12-12,8억 9000만,89000,7,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-12-11,9억,90000,15,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-12-11,11억,110000,7,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-12-11,11억 3000만,113000,1,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-12-09,16억 9000만,169000,7,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-12-07,11억 5000만,115000,9,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-12-05,9억,90000,11,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-11-26,11억,110000,5,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-11-23,11억 5000만,115000,14,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-11-20,11억,110000,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-11-19,6억 8250만,68250,10,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-11-16,9억 4000만,94000,11,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-11-16,10억 7000만,107000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-11-12,8억 7000만,87000,2,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-11-02,11억 5000만,115000,15,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-10-28,17억 9000만,179000,14,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-10-26,10억 5000만,105000,1,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-10-23,9억,90000,13,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-10-18,21억,210000,13,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-10-12,10억 5000만,105000,8,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-10-04,12억 500만,120500,8,전세,e편한세상마포리버파크,105738,7,46A평,전세
2024-09-26,6억 5000만,65000,6,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-09-14,8억 5000만,85000,7,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-09-05,8억 5000만,85000,10,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-08-31,8억 5000만,85000,7,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-08-30,12억,120000,12,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-08-24,21억 5000만,215000,15,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-08-24,12억,120000,10,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-08-20,9억 5000만,95000,16,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-08-17,10억 8000만,108000,8,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-08-15,20억 9500만,209500,9,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-08-07,20억 9800만,209800,20,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-07-26,14억 5000만,145000,15,전세,e편한세상마포리버파크,105738,7,46A평,전세
2024-07-25,8억 4000만,84000,9,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-06-19,20억,200000,14,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-06-15,9억,90000,13,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-06-11,20억 5000만,205000,20,매매,e편한세상마포리버파크,105738,9,32F평,매매
2024-06-08,15억 9000만,159000,9,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-06-07,16억,160000,9,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-06-07,10억,100000,4,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-06-06,10억,100000,2,전세,e편한세상마포리버파크,105738,9,32F평,전세
2024-06-02,16억,160000,15,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-05-27,15억 3000만,153000,4,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-05-18,8억 5000만,85000,7,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-05-15,8억 5000만,85000,5,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-05-06,23억 8000만,238000,18,매매,e편한세상마포리버파크,105738,7,46A평,매매
2024-05-04,14억 7000만,147000,2,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-05-01,7억 5000만,75000,10,전세,e편한세상마포리버파크,105738,1,25A평,전세
2024-04-20,16억 2500만,162500,18,매매,e편한세상마포리버파크,105738,1,25A평,매매
2024-04-13,15억 5000만,155000,11,매매,e편한세상마포리버파크,105738,1,25A평,매매
